starttime,endtime,logreturn,score
"2016-12-26 09:20:00","2016-12-26 10:35:00",-0.0569,0.7375
"2016-12-26 10:35:00","2016-12-26 13:35:00",0.0758,0.7665
"2016-12-26 13:35:00","2016-12-26 14:35:00",0.1514,0.8147
"2016-12-26 14:35:00","2016-12-26 21:30:00",0.321,0.7426
"2016-12-26 21:30:00","2016-12-26 22:30:00",-0.0754,0.07
"2016-12-26 22:30:00","2016-12-26 23:30:00",-0.0377,0.063
"2016-12-26 23:30:00","2016-12-27 00:30:00",0.0189,0.8005
"2016-12-27 00:30:00","2016-12-27 01:30:00",0,0.6359
"2016-12-27 01:30:00","2016-12-27 09:00:00",-0.1133,0.6945
"2016-12-27 09:00:00","2016-12-27 10:00:00",0.151,0.6051
"2016-12-27 10:00:00","2016-12-27 11:15:00",0.1508,0.7227
"2016-12-27 11:15:00","2016-12-27 14:15:00",0.0565,0.7889
"2016-12-27 14:15:00","2016-12-27 21:10:00",0.1693,0.7506
"2016-12-27 21:10:00","2016-12-27 22:10:00",0.0188,0.6755
"2016-12-27 22:10:00","2016-12-27 23:10:00",-0.1692,0.6079
"2016-12-27 23:10:00","2016-12-28 00:10:00",0.0564,0.6317
"2016-12-28 00:10:00","2016-12-28 01:10:00",-0.0753,0.5057
"2016-12-28 01:10:00","2016-12-28 02:10:00",0.0376,0.8239
"2016-12-28 02:10:00","2016-12-28 09:40:00",0.2818,0.6217
"2016-12-28 09:40:00","2016-12-28 10:55:00",0.1687,0.8348
"2016-12-28 10:55:00","2016-12-28 13:55:00",0.0936,0.8327
"2016-12-28 13:55:00","2016-12-28 14:55:00",0.0374,0.4909
"2016-12-28 14:55:00","2016-12-28 21:50:00",-0.2247,0.6893
"2016-12-28 21:50:00","2016-12-28 22:50:00",-0.1126,0.6204
"2016-12-28 22:50:00","2016-12-28 23:50:00",0,0.5584
"2016-12-28 23:50:00","2016-12-29 00:50:00",0.0563,0.5026
"2016-12-29 00:50:00","2016-12-29 01:50:00",0.0375,0.4523
"2016-12-29 01:50:00","2016-12-29 09:20:00",0.7659,0.6835
"2016-12-29 09:20:00","2016-12-29 10:35:00",-0.149,0.658
"2016-12-29 10:35:00","2016-12-29 13:35:00",0.0186,0.6957
"2016-12-29 13:35:00","2016-12-29 14:35:00",0,0.7302
"2016-12-29 14:35:00","2016-12-29 21:30:00",-0.0186,0.7224
"2016-12-29 21:30:00","2016-12-29 22:30:00",-0.0373,0.8709
"2016-12-29 22:30:00","2016-12-29 23:30:00",0.0186,0.7838
"2016-12-29 23:30:00","2016-12-30 00:30:00",1.0015,0.7054
"2016-12-30 00:30:00","2016-12-30 01:30:00",-0.0369,0.8938
"2016-12-30 01:30:00","2016-12-30 09:00:00",0.2765,0.5813
